datetime_utc,demand_mw,total_generation_mw,wind_generation_mw,solar_generation_mw,thermal_generation_mw,spinning_reserve_mw,frequency_hz,ace_mw,lmp_usd_per_mwh,net_interchange_mw,renewable_penetration_pct,wind_speed_hub_mph,wind_speed_sfc_mph,solar_irradiance_wm2,cloud_cover_pct,humidity_pct,high_wind_alert,loss_pct,reserve_margin_pct,grid_condition
2026-03-18 00:00:00,17937.6,18425.1,747.3,7172.5,10505.3,1894.0,59.9996,35.1,28.24,902.2,44.15,16.96,5.58,364.2,3.2,30.4,False,2.72,10.56,NORMAL
2026-03-18 01:00:00,19141.5,19670.9,433.4,3553.9,15683.6,2094.3,60.011,138.4,32.88,-309.1,20.83,15.31,5.04,181.1,2.7,37.1,False,2.77,10.94,NORMAL
2026-03-18 02:00:00,20510.2,21088.7,170.6,0.0,20918.1,1674.6,60.0038,23.6,53.15,-491.3,0.83,13.09,4.31,0.0,2.2,44.3,False,2.82,8.16,LOW_RENEWABLES
2026-03-18 03:00:00,22000.8,22634.4,164.2,0.0,22470.2,2499.4,59.9957,-87.6,41.03,-1082.3,0.75,13.01,4.28,0.0,2.2,46.4,False,2.88,11.36,LOW_RENEWABLES
2026-03-18 04:00:00,24113.3,24828.1,158.4,0.0,24669.7,3194.4,59.9995,-15.7,43.88,-1845.7,0.66,12.94,4.26,0.0,2.0,46.7,False,2.96,13.25,LOW_RENEWABLES
2026-03-18 05:00:00,26429.9,27237.9,164.2,0.0,27073.7,1635.5,59.9916,-75.1,82.63,-851.3,0.62,13.01,4.28,0.0,2.4,46.5,False,3.06,6.19,LOW_RENEWABLES
2026-03-18 06:00:00,29051.6,29970.2,174.4,0.0,29795.8,2775.5,59.9931,-68.5,63.47,-1359.3,0.6,13.13,4.32,0.0,2.6,46.1,False,3.16,9.55,LOW_RENEWABLES
2026-03-18 07:00:00,31804.5,32845.2,189.7,0.0,32655.5,2556.3,59.9947,-16.0,61.63,-2091.9,0.6,13.31,4.38,0.0,2.5,45.5,False,3.27,8.04,LOW_RENEWABLES
2026-03-18 08:00:00,36256.0,37506.9,181.7,0.0,37325.2,3979.8,59.994,-78.4,58.36,-2378.8,0.5,13.22,4.35,0.0,2.9,45.0,False,3.45,10.98,LOW_RENEWABLES
2026-03-18 09:00:00,38170.0,39516.1,174.4,0.0,39341.8,3626.5,59.9996,-30.1,79.08,-2107.0,0.46,13.13,4.32,0.0,2.3,44.6,False,3.53,9.5,LOW_RENEWABLES
