datetime_utc,demand_mw,total_generation_mw,wind_generation_mw,solar_generation_mw,thermal_generation_mw,spinning_reserve_mw,frequency_hz,ace_mw,lmp_usd_per_mwh,net_interchange_mw,renewable_penetration_pct,wind_speed_hub_mph,wind_speed_sfc_mph,solar_irradiance_wm2,cloud_cover_pct,humidity_pct,high_wind_alert,loss_pct,reserve_margin_pct,grid_condition
2026-03-18 00:00:00,28638.5,29430.0,4789.7,1309.3,23330.9,4660.2,59.9628,-132.7,24.87,-1119.7,21.3,17.35,10.03,60.6,53.1,37.4,False,2.76,16.27,NORMAL
2026-03-18 01:00:00,29359.1,30176.1,3930.0,0.0,26246.1,3031.4,60.0345,129.0,24.7,-795.9,13.39,16.69,9.65,0.0,49.0,43.1,False,2.78,10.33,NORMAL
2026-03-18 02:00:00,31685.2,32586.7,4382.3,0.0,28204.4,3745.3,59.9954,-20.4,29.2,-1611.2,13.83,17.05,9.85,0.0,44.4,46.8,False,2.84,11.82,NORMAL
2026-03-18 03:00:00,34923.0,35946.6,4530.7,0.0,31415.9,3313.4,60.018,70.5,37.59,477.8,12.97,17.16,9.92,0.0,35.4,49.9,False,2.93,9.49,NORMAL
2026-03-18 04:00:00,37060.4,38167.9,4576.9,0.0,33591.0,4541.8,59.9631,-135.8,30.08,-2236.6,12.35,17.2,9.94,0.0,29.4,52.9,False,2.99,12.26,NORMAL
2026-03-18 05:00:00,40994.6,42262.7,4304.6,0.0,37958.1,3465.1,59.9894,-32.8,42.49,-1205.5,10.5,16.99,9.82,0.0,22.3,55.7,False,3.09,8.45,NORMAL
2026-03-18 06:00:00,46954.6,48481.6,3985.3,0.0,44496.3,3542.1,60.0329,108.3,60.75,-2571.4,8.49,16.74,9.67,0.0,17.6,58.3,False,3.25,7.54,NORMAL
2026-03-18 07:00:00,50656.4,52353.8,3439.0,0.0,48914.8,3993.5,60.0738,241.7,69.85,-2617.2,6.79,16.27,9.4,0.0,11.9,60.9,False,3.35,7.88,OVERFREQ_ALERT
2026-03-18 08:00:00,53401.3,55229.8,2842.7,0.0,52387.1,4376.9,60.0556,204.5,50.16,-2295.4,5.32,15.7,9.07,0.0,8.2,63.4,False,3.42,8.2,OVERFREQ_ALERT
2026-03-18 09:00:00,57773.5,59819.0,2329.0,0.0,57490.0,3118.4,60.0172,63.7,76.78,-2082.2,4.03,15.14,8.75,0.0,6.5,65.7,False,3.54,5.4,EEA1_CONSERVATION_APPEAL|LOW_RENEWABLES
2026-03-18 10:00:00,58717.1,60810.8,1954.9,0.0,58855.9,5280.8,59.9924,-35.7,53.16,-1914.5,3.33,14.68,8.48,0.0,5.4,67.7,False,3.57,8.99,LOW_RENEWABLES
