datetime_utc,demand_mw,total_generation_mw,wind_generation_mw,solar_generation_mw,thermal_generation_mw,spinning_reserve_mw,frequency_hz,ace_mw,lmp_usd_per_mwh,net_interchange_mw,renewable_penetration_pct,wind_speed_hub_mph,wind_speed_sfc_mph,solar_irradiance_wm2,cloud_cover_pct,humidity_pct,high_wind_alert,loss_pct,reserve_margin_pct,grid_condition
2026-03-18 00:00:00,10386.4,10674.1,0.0,0.0,10674.0,1023.3,60.0052,30.0,50.47,-519.0,0.0,7.58,4.43,0.0,52.1,49.7,False,2.77,9.85,LOW_RENEWABLES
2026-03-18 01:00:00,10319.5,10604.8,0.0,0.0,10604.8,740.5,59.9882,-109.7,72.78,-446.6,0.0,7.15,4.18,0.0,48.6,52.3,False,2.76,7.18,LOW_RENEWABLES
2026-03-18 02:00:00,11167.2,11482.9,0.0,0.0,11482.9,1095.4,59.9963,-24.7,56.99,-493.6,0.0,6.88,4.02,0.0,55.1,54.1,False,2.83,9.81,LOW_RENEWABLES
2026-03-18 03:00:00,12005.8,12352.7,0.0,0.0,12352.7,729.4,59.9926,-52.2,80.16,-597.6,0.0,6.86,4.01,0.0,61.4,55.1,False,2.89,6.08,LOW_RENEWABLES
2026-03-18 04:00:00,13090.4,13479.2,0.0,0.0,13479.2,1089.3,59.9972,-16.7,61.74,-1117.1,0.0,6.89,4.03,0.0,61.5,55.9,False,2.97,8.32,LOW_RENEWABLES
2026-03-18 05:00:00,15006.7,15473.7,0.0,0.0,15473.7,1569.8,60.0028,-6.0,54.14,-933.2,0.0,7.13,4.17,0.0,62.8,56.4,False,3.11,10.46,LOW_RENEWABLES
2026-03-18 06:00:00,16531.6,17064.7,0.0,0.0,17064.7,1792.2,60.0062,57.6,55.47,-896.8,0.0,7.25,4.24,0.0,62.5,57.3,False,3.22,10.84,LOW_RENEWABLES
2026-03-18 07:00:00,18374.4,18992.0,0.0,0.0,18992.0,1913.6,59.9981,15.9,58.36,-708.0,0.0,7.49,4.38,0.0,55.2,58.5,False,3.36,10.41,LOW_RENEWABLES
2026-03-18 08:00:00,18704.6,19337.8,0.1,0.0,19337.7,1764.9,60.0107,76.6,69.02,-1121.6,0.0,7.95,4.65,0.0,56.6,59.7,False,3.39,9.44,LOW_RENEWABLES
2026-03-18 09:00:00,21007.6,21754.7,0.2,0.0,21754.4,1601.6,60.0014,-37.8,109.56,-1145.5,0.0,8.1,4.74,0.0,64.8,60.9,False,3.56,7.62,HIGH_PRICE|LOW_RENEWABLES
2026-03-18 10:00:00,22403.6,23223.5,0.2,0.0,23223.3,2663.9,59.9938,-76.5,64.95,-1595.8,0.0,8.06,4.71,0.0,71.1,61.5,False,3.66,11.89,LOW_RENEWABLES
2026-03-18 11:00:00,21404.9,22172.4,0.8,0.0,22171.6,2028.2,60.0105,78.5,75.19,-1596.0,0.0,8.64,5.05,0.0,74.1,62.5,False,3.59,9.48,LOW_RENEWABLES
2026-03-18 12:00:00,22143.2,22949.3,6.6,518.2,22424.4,1857.1,60.0059,22.8,79.96,-1570.1,2.37,10.37,6.06,89.0,75.4,58.6,False,3.64,8.39,LOW_RENEWABLES
2026-03-18 13:00:00,20461.6,21180.9,41.2,1029.1,20110.6,2062.2,59.9907,-43.6,60.08,-1127.1,5.23,13.2,7.72,176.3,74.8,54.0,False,3.52,10.08,NORMAL
2026-03-18 14:00:00,18862.6,19503.4,99.5,1461.2,17942.7,2272.6,60.0074,17.8,56.57,-262.9,8.27,15.32,8.96,249.8,74.8,50.1,False,3.4,12.05,NORMAL
2026-03-18 15:00:00,17831.0,18423.1,142.1,1746.2,16534.8,1900.6,60.0074,40.8,55.62,-800.8,10.59,16.37,9.57,298.2,76.1,47.8,False,3.32,10.66,NORMAL
2026-03-18 16:00:00,16699.4,17239.9,171.3,2130.0,14938.6,1477.8,60.0018,3.5,65.96,-443.2,13.78,16.97,9.93,363.5,71.2,46.7,False,3.24,8.85,NORMAL
2026-03-18 17:00:00,14539.6,14987.0,210.2,2260.6,12516.2,1486.0,59.9953,-43.3,46.89,-227.8,16.99,17.68,10.34,385.8,69.5,46.7,False,3.08,10.22,NORMAL
2026-03-18 18:00:00,13193.8,13586.7,257.0,2116.2,11213.4,1044.4,59.9931,-28.5,76.63,-611.7,17.99,18.42,10.77,361.2,71.0,47.2,False,2.98,7.92,NORMAL
2026-03-18 19:00:00,12284.7,12642.2,273.4,1819.2,10549.6,1220.0,60.0004,14.0,54.55,-436.0,17.03,18.65,10.91,310.7,72.8,48.5,False,2.91,9.93,NORMAL
2026-03-18 20:00:00,11193.2,11509.9,257.0,1447.6,9805.2,995.3,60.0026,12.4,53.22,-162.1,15.23,18.42,10.77,247.5,73.4,50.7,False,2.83,8.89,NORMAL
2026-03-18 21:00:00,10647.0,10943.9,180.8,1097.3,9665.7,728.5,60.004,73.1,76.31,-267.5,12.0,17.15,10.03,188.0,67.4,54.7,False,2.79,6.84,NORMAL
2026-03-18 22:00:00,10178.0,10458.3,125.2,618.6,9714.5,622.1,59.9989,-9.3,68.93,-1000.3,7.31,15.98,9.35,106.3,54.0,60.9,False,2.75,6.11,NORMAL
2026-03-18 23:00:00,10095.9,10373.3,78.9,0.0,10294.5,918.1,59.9917,-47.4,52.62,-429.5,0.78,14.7,8.6,0.0,48.7,70.1,False,2.75,9.09,LOW_RENEWABLES
2026-03-19 00:00:00,10042.2,10317.8,80.5,0.0,10237.3,848.9,60.0127,139.0,54.36,-735.2,0.8,14.75,8.63,0.0,49.5,75.1,False,2.74,8.45,LOW_RENEWABLES
2026-03-19 01:00:00,10572.7,10867.0,89.1,0.0,10777.8,1413.5,59.9968,8.6,38.22,-758.2,0.84,15.02,8.78,0.0,55.3,78.0,False,2.78,13.37,LOW_RENEWABLES
2026-03-19 02:00:00,10984.9,11294.0,92.6,0.0,11201.4,1270.6,60.0001,44.7,46.25,-531.3,0.84,15.12,8.84,0.0,64.3,80.2,False,2.81,11.57,LOW_RENEWABLES
2026-03-19 03:00:00,12453.5,12817.4,106.9,0.0,12710.5,1138.9,60.0037,26.7,62.13,-314.6,0.86,15.52,9.08,0.0,69.2,81.4,False,2.92,9.15,LOW_RENEWABLES
2026-03-19 04:00:00,13184.8,13577.2,123.6,0.0,13453.6,1415.9,59.9991,8.4,42.67,-820.5,0.94,15.94,9.32,0.0,70.8,82.7,False,2.98,10.74,LOW_RENEWABLES
2026-03-19 05:00:00,15121.4,15593.2,131.1,0.0,15462.0,1656.6,59.9972,-13.0,51.69,-562.7,0.87,16.12,9.43,0.0,67.8,83.5,False,3.12,10.96,LOW_RENEWABLES
2026-03-19 06:00:00,16280.1,16802.0,117.9,0.0,16684.0,1180.0,59.9831,-150.1,93.08,-1342.3,0.72,15.81,9.24,0.0,68.6,84.8,False,3.21,7.25,LOW_RENEWABLES
2026-03-19 07:00:00,18013.1,18613.7,103.8,0.0,18509.9,1864.9,60.0026,-56.0,55.77,-1024.7,0.58,15.44,9.03,0.0,61.8,86.2,False,3.33,10.35,LOW_RENEWABLES
2026-03-19 08:00:00,19203.0,19860.2,80.3,0.0,19779.9,1872.7,60.0038,20.1,78.63,-1282.2,0.42,14.74,8.62,0.0,60.5,87.4,False,3.42,9.75,LOW_RENEWABLES
2026-03-19 09:00:00,20151.8,20855.7,50.5,0.0,20805.2,1256.9,59.9878,-143.8,116.48,-1122.9,0.25,13.63,7.97,0.0,54.1,88.7,False,3.49,6.24,HIGH_PRICE|LOW_RENEWABLES
2026-03-19 10:00:00,20590.1,21315.9,28.0,0.0,21287.9,2087.8,59.9983,6.1,60.98,-1309.8,0.14,12.46,7.28,0.0,45.7,89.5,False,3.53,10.14,LOW_RENEWABLES
2026-03-19 11:00:00,21144.1,21898.1,9.4,0.0,21888.7,2383.2,60.0053,37.6,62.19,-1628.9,0.04,10.79,6.31,0.0,36.6,89.3,False,3.57,11.27,LOW_RENEWABLES
2026-03-19 12:00:00,21196.3,21953.1,2.3,876.2,21074.5,1452.0,60.0039,45.7,114.94,-1335.7,4.14,9.37,5.48,152.3,34.4,82.1,False,3.57,6.85,HIGH_PRICE|LOW_RENEWABLES
2026-03-19 13:00:00,20657.0,21386.2,2.5,1533.1,19850.5,1323.5,60.0009,32.3,112.47,-1375.9,7.43,9.45,5.53,264.9,46.4,70.8,False,3.53,6.41,HIGH_PRICE
2026-03-19 14:00:00,19786.9,20472.6,1.7,1947.4,18523.5,1459.4,60.011,51.8,99.79,-1150.3,9.85,9.13,5.34,335.1,56.2,63.0,False,3.47,7.38,NORMAL
2026-03-19 15:00:00,17780.7,18370.5,3.5,2034.5,16332.4,1386.3,60.0104,86.5,105.47,-529.5,11.46,9.73,5.69,349.3,67.6,58.3,False,3.32,7.8,HIGH_PRICE
2026-03-19 16:00:00,16068.0,16580.6,20.3,1788.3,14772.0,1240.0,60.0073,57.5,88.04,-670.1,11.26,11.9,6.96,306.8,80.3,56.8,False,3.19,7.72,NORMAL
2026-03-19 17:00:00,14360.8,14800.8,67.7,1276.0,13457.1,1472.4,59.9977,5.9,49.76,-530.6,9.36,14.32,8.37,219.0,93.8,57.8,False,3.06,10.25,NORMAL
2026-03-19 18:00:00,13482.4,13886.7,143.6,1123.0,12620.1,1346.6,59.9947,-14.9,60.72,-65.4,9.39,16.4,9.59,193.0,96.2,60.8,False,3.0,9.99,NORMAL
