datetime_utc,demand_mw,total_generation_mw,wind_generation_mw,solar_generation_mw,thermal_generation_mw,spinning_reserve_mw,frequency_hz,ace_mw,lmp_usd_per_mwh,net_interchange_mw,renewable_penetration_pct,wind_speed_hub_mph,wind_speed_sfc_mph,solar_irradiance_wm2,cloud_cover_pct,humidity_pct,high_wind_alert,loss_pct,reserve_margin_pct,grid_condition
2026-03-18 00:00:00,11945.1,12279.1,5366.5,645.6,6267.0,961.3,60.0012,9.9,21.46,926.9,50.33,24.07,10.37,219.6,53.4,40.0,False,2.8,8.05,HIGH_RENEWABLES
2026-03-18 01:00:00,12489.4,12843.2,2341.4,313.7,10188.1,1430.7,60.038,360.5,20.68,-615.9,21.26,19.94,8.6,107.0,53.5,44.8,False,2.83,11.46,NORMAL
2026-03-18 02:00:00,13655.8,14053.3,1022.2,0.0,13031.0,1416.4,60.0043,64.2,23.23,-211.1,7.49,16.82,7.25,0.0,52.3,48.6,False,2.91,10.37,NORMAL
2026-03-18 03:00:00,13573.1,13967.4,713.6,0.0,13253.8,1248.6,60.0094,107.2,28.4,-316.1,5.26,15.71,6.77,0.0,50.5,49.7,False,2.9,9.2,NORMAL
2026-03-18 04:00:00,14872.0,15316.9,624.5,0.0,14692.4,1260.7,59.9871,-84.7,32.88,-497.9,4.2,15.33,6.61,0.0,48.6,50.4,False,2.99,8.48,LOW_RENEWABLES
2026-03-18 05:00:00,17024.2,17557.9,586.0,0.0,16971.8,1566.4,60.0062,130.9,33.96,-1112.4,3.44,15.16,6.53,0.0,47.2,50.8,False,3.13,9.2,LOW_RENEWABLES
2026-03-18 06:00:00,17586.1,18144.0,566.7,0.0,17577.2,1367.2,59.9944,-22.7,42.91,-839.1,3.22,15.07,6.49,0.0,44.8,51.1,False,3.17,7.77,LOW_RENEWABLES
2026-03-18 07:00:00,19332.5,19968.3,553.7,0.0,19414.6,2124.1,59.9963,10.0,29.95,-1432.4,2.86,15.0,6.47,0.0,43.8,51.3,False,3.29,10.99,LOW_RENEWABLES
2026-03-18 08:00:00,22189.7,22961.7,537.0,0.0,22424.8,2549.4,59.9898,-111.8,30.1,-950.7,2.42,14.92,6.43,0.0,40.6,51.5,False,3.48,11.49,LOW_RENEWABLES
2026-03-18 09:00:00,22727.5,23526.4,568.3,0.0,22958.2,1471.1,59.9978,-6.9,55.27,-1272.2,2.5,15.07,6.5,0.0,40.3,51.6,False,3.52,6.47,LOW_RENEWABLES
