datetime_utc,demand_mw,total_generation_mw,wind_generation_mw,solar_generation_mw,thermal_generation_mw,spinning_reserve_mw,frequency_hz,ace_mw,lmp_usd_per_mwh,net_interchange_mw,renewable_penetration_pct,wind_speed_hub_mph,wind_speed_sfc_mph,solar_irradiance_wm2,cloud_cover_pct,humidity_pct,high_wind_alert,loss_pct,reserve_margin_pct,grid_condition
2026-03-18 00:00:00,18775.2,19286.3,909.2,326.7,18050.4,1447.5,60.0048,52.5,39.6,-863.4,6.58,13.28,7.5,66.7,50.5,40.2,False,2.72,7.71,NORMAL
2026-03-18 01:00:00,18837.0,19350.2,696.7,0.0,18653.5,1330.3,60.0213,167.5,41.69,-1387.8,3.7,12.75,7.2,0.0,47.1,44.2,False,2.72,7.06,LOW_RENEWABLES
2026-03-18 02:00:00,20458.7,21028.9,759.3,0.0,20269.6,1863.5,59.9832,-133.7,30.09,-1072.7,3.71,12.91,7.3,0.0,45.5,46.6,False,2.79,9.11,LOW_RENEWABLES
2026-03-18 03:00:00,22023.6,22650.6,875.3,0.0,21775.3,1472.3,59.9884,-99.0,40.73,-704.2,3.97,13.2,7.46,0.0,41.9,48.4,False,2.85,6.69,LOW_RENEWABLES
2026-03-18 04:00:00,24930.2,25667.9,926.6,0.0,24741.3,1962.5,59.9987,-2.3,43.1,-987.4,3.72,13.32,7.53,0.0,38.0,50.2,False,2.96,7.87,LOW_RENEWABLES
2026-03-18 05:00:00,27026.4,27847.9,944.7,0.0,26903.2,2905.5,59.9884,-111.7,28.01,-926.0,3.5,13.36,7.55,0.0,32.4,51.8,False,3.04,10.75,LOW_RENEWABLES
2026-03-18 06:00:00,30732.0,31709.9,973.0,0.0,30737.0,2806.6,59.9799,-190.4,38.28,-2299.1,3.17,13.42,7.58,0.0,25.5,53.1,False,3.18,9.13,LOW_RENEWABLES
2026-03-18 07:00:00,33254.0,34344.4,1052.8,0.0,33291.6,3627.3,60.0096,105.7,28.96,-1291.1,3.17,13.59,7.68,0.0,22.0,54.3,False,3.28,10.91,LOW_RENEWABLES
2026-03-18 08:00:00,37684.7,38984.6,1120.7,0.0,37863.9,3770.9,59.9751,-238.6,34.68,-2130.1,2.97,13.73,7.76,0.0,20.9,55.2,False,3.45,10.01,LOW_RENEWABLES
2026-03-18 09:00:00,40098.2,41518.5,1190.4,0.0,40328.1,3030.2,59.9889,-48.8,64.52,-2121.5,2.97,13.87,7.84,0.0,20.9,55.9,False,3.54,7.56,LOW_RENEWABLES
2026-03-18 10:00:00,39646.2,41043.6,1205.3,0.0,39838.3,4391.1,60.0107,77.4,34.83,-1508.8,3.04,13.9,7.85,0.0,19.5,56.6,False,3.52,11.08,LOW_RENEWABLES
2026-03-18 11:00:00,42709.8,44265.6,1185.5,0.0,43080.1,2871.3,60.0116,29.7,68.66,-1960.1,2.78,13.86,7.83,0.0,16.7,57.0,False,3.64,6.72,LOW_RENEWABLES
2026-03-18 12:00:00,43118.5,44696.0,1132.6,0.0,43563.4,3919.3,59.9974,-35.0,52.59,-2178.0,2.63,13.76,7.77,0.0,15.0,57.4,False,3.66,9.09,LOW_RENEWABLES
2026-03-18 13:00:00,39568.0,40961.5,1110.7,360.7,39490.1,3765.0,59.9854,-111.9,49.22,-3111.5,3.72,13.71,7.75,74.3,15.7,57.6,False,3.52,9.52,LOW_RENEWABLES
2026-03-18 14:00:00,36692.3,37943.9,1034.2,1264.4,35645.3,3056.3,60.0012,43.4,43.77,-1765.5,6.26,13.56,7.66,259.9,15.3,54.0,False,3.41,8.33,NORMAL
2026-03-18 15:00:00,36171.5,37398.1,2231.5,2071.9,33094.7,2900.3,59.9796,-222.5,41.86,-1717.6,11.9,15.47,8.74,424.1,16.5,46.0,False,3.39,8.02,NORMAL
2026-03-18 16:00:00,30216.0,31171.5,3294.8,2720.4,25156.3,3384.0,59.9933,-78.7,27.99,-240.2,19.91,16.65,9.4,555.0,18.3,39.5,False,3.16,11.2,NORMAL
2026-03-18 17:00:00,27861.2,28717.0,3926.6,3174.2,21616.2,3546.0,59.9943,-48.5,26.16,263.8,25.49,17.23,9.73,645.9,19.8,34.3,False,3.07,12.73,NORMAL
2026-03-18 18:00:00,25016.1,25757.1,4292.1,3271.6,18193.3,2171.5,60.0002,-20.8,30.3,-145.3,30.24,17.53,9.91,664.4,27.5,30.2,False,2.96,8.68,NORMAL
2026-03-18 19:00:00,23041.1,23706.1,4552.9,3160.7,15992.6,2300.5,59.9845,-92.7,29.1,-186.6,33.48,17.74,10.02,640.9,32.9,27.4,False,2.89,9.98,NORMAL
2026-03-18 20:00:00,20628.5,21204.7,4866.8,2848.7,13489.3,1820.3,60.0203,180.3,24.54,1114.7,37.4,17.99,10.16,577.1,37.4,25.4,False,2.79,8.82,NORMAL
2026-03-18 21:00:00,18903.0,19418.5,4975.0,2431.9,12011.7,1925.6,60.0034,26.4,19.47,33.5,39.18,18.07,10.21,492.4,38.1,24.4,False,2.73,10.19,NORMAL
2026-03-18 22:00:00,17923.9,18405.9,4081.9,1784.1,12539.9,1560.1,60.003,60.3,25.88,-523.4,32.73,17.36,9.81,361.2,42.8,24.3,False,2.69,8.7,NORMAL
2026-03-18 23:00:00,17876.9,18357.4,1985.7,1097.4,15274.3,1894.5,60.0194,237.1,20.29,-889.0,17.25,15.15,8.56,222.5,43.9,26.8,False,2.69,10.6,NORMAL
2026-03-19 00:00:00,17903.5,18384.8,801.8,360.4,17222.7,2168.5,60.0041,37.8,21.68,-1130.4,6.49,13.02,7.36,73.2,45.5,32.1,False,2.69,12.11,NORMAL
2026-03-19 01:00:00,19111.7,19634.4,830.2,0.0,18804.1,2199.6,59.9999,-43.0,21.46,-1428.6,4.34,13.09,7.4,0.0,48.1,35.4,False,2.74,11.51,LOW_RENEWABLES
2026-03-19 02:00:00,20250.0,20812.7,1040.1,0.0,19772.6,2564.8,60.0221,227.8,21.9,-567.4,5.14,13.57,7.67,0.0,46.2,37.8,False,2.78,12.67,NORMAL
2026-03-19 03:00:00,21767.1,22384.6,1358.4,0.0,21026.3,2376.5,59.9863,-111.6,24.45,-2177.3,6.24,14.18,8.01,0.0,43.3,40.0,False,2.84,10.92,NORMAL
2026-03-19 04:00:00,25552.3,26314.5,1637.8,0.0,24676.6,2986.9,59.997,-36.0,25.55,-1664.5,6.41,14.64,8.27,0.0,36.3,42.2,False,2.98,11.69,NORMAL
2026-03-19 05:00:00,27572.8,28416.7,1776.0,0.0,26640.6,3414.1,59.9993,-61.3,25.3,-1323.9,6.44,14.85,8.39,0.0,28.6,44.2,False,3.06,12.38,NORMAL
2026-03-19 06:00:00,30247.6,31204.4,1765.7,0.0,29438.7,3153.7,59.9906,-107.1,27.85,-1352.4,5.84,14.83,8.38,0.0,23.2,46.1,False,3.16,10.43,NORMAL
2026-03-19 07:00:00,34122.3,35252.5,1704.7,0.0,33547.8,2616.0,60.0066,49.9,54.82,-826.6,5.0,14.74,8.33,0.0,18.1,47.9,False,3.31,7.67,NORMAL
2026-03-19 08:00:00,37219.7,38496.9,1563.2,0.0,36933.7,3956.7,60.0055,17.9,35.36,-1117.0,4.2,14.52,8.21,0.0,15.2,49.5,False,3.43,10.63,LOW_RENEWABLES
2026-03-19 09:00:00,38150.8,39473.6,1417.5,0.0,38056.1,2763.5,60.0123,109.3,63.0,-2837.9,3.72,14.28,8.07,0.0,14.2,51.0,False,3.47,7.24,LOW_RENEWABLES
2026-03-19 10:00:00,41339.7,42823.8,1392.6,0.0,41431.1,4664.6,60.0063,86.8,35.13,-3194.0,3.37,14.24,8.04,0.0,13.5,52.2,False,3.59,11.28,LOW_RENEWABLES
2026-03-19 11:00:00,40728.8,42181.4,1326.8,0.0,40854.6,3371.9,60.0048,100.3,45.89,-2165.4,3.26,14.12,7.98,0.0,14.6,53.2,False,3.57,8.28,LOW_RENEWABLES
2026-03-19 12:00:00,42472.6,44015.9,1196.9,0.0,42819.0,3265.4,59.989,-82.5,71.98,-2659.0,2.82,13.88,7.84,0.0,17.0,54.2,False,3.63,7.69,LOW_RENEWABLES
2026-03-19 13:00:00,39945.9,41358.5,987.3,373.9,39997.3,3486.2,60.0054,87.6,48.79,-2744.4,3.41,13.45,7.6,76.9,18.7,54.8,False,3.54,8.73,LOW_RENEWABLES
2026-03-19 14:00:00,36871.6,38131.9,991.7,1246.0,35894.2,3796.3,60.0089,68.8,31.69,-1756.4,6.07,13.46,7.61,255.8,21.3,51.2,False,3.42,10.3,NORMAL
