datetime_utc,demand_mw,total_generation_mw,wind_generation_mw,solar_generation_mw,thermal_generation_mw,spinning_reserve_mw,frequency_hz,ace_mw,lmp_usd_per_mwh,net_interchange_mw,renewable_penetration_pct,wind_speed_hub_mph,wind_speed_sfc_mph,solar_irradiance_wm2,cloud_cover_pct,humidity_pct,high_wind_alert,loss_pct,reserve_margin_pct,grid_condition
2026-03-18 00:00:00,12103.0,12428.8,354.5,2711.5,9362.8,1095.8,60.0035,26.1,38.53,44.8,25.33,16.36,8.02,272.9,10.4,13.2,False,2.69,9.05,NORMAL
2026-03-18 01:00:00,12822.8,13173.3,151.7,776.5,12245.0,1098.6,60.0005,32.0,41.65,-729.4,7.24,14.06,6.89,78.3,12.4,17.5,False,2.73,8.57,NORMAL
2026-03-18 02:00:00,13953.9,14344.3,80.2,0.0,14264.1,1118.9,60.0041,39.0,46.88,-867.9,0.57,12.7,6.23,0.0,13.6,19.4,False,2.8,8.02,LOW_RENEWABLES
2026-03-18 03:00:00,14715.5,15133.6,55.9,0.0,15077.7,1195.8,59.9986,-68.9,44.15,-983.4,0.38,12.06,5.91,0.0,15.6,20.3,False,2.84,8.13,LOW_RENEWABLES
2026-03-18 04:00:00,16383.7,16864.8,49.7,0.0,16815.1,2310.6,60.0066,25.8,36.54,-1293.2,0.3,11.86,5.81,0.0,16.2,21.2,False,2.94,14.1,LOW_RENEWABLES
2026-03-18 05:00:00,18738.1,19313.5,42.9,0.0,19270.6,1434.6,60.0012,-15.3,69.36,-1426.5,0.23,11.63,5.7,0.0,17.4,21.9,False,3.07,7.66,LOW_RENEWABLES
2026-03-18 06:00:00,20811.8,21475.5,37.2,0.0,21438.3,2366.8,60.0044,20.3,41.13,-881.5,0.18,11.42,5.6,0.0,20.0,22.5,False,3.19,11.37,LOW_RENEWABLES
2026-03-18 07:00:00,23357.8,24136.7,33.8,0.0,24102.9,2421.5,59.9971,-50.4,42.66,-2034.6,0.14,11.28,5.53,0.0,22.5,23.0,False,3.33,10.37,LOW_RENEWABLES
2026-03-18 08:00:00,25004.4,25861.7,29.1,0.0,25832.7,2174.7,59.9994,-40.5,61.52,-928.4,0.12,11.07,5.43,0.0,25.8,23.5,False,3.43,8.7,LOW_RENEWABLES
2026-03-18 09:00:00,27526.0,28509.5,27.2,0.0,28482.3,1946.7,60.0069,82.4,87.09,-1766.2,0.1,10.98,5.38,0.0,24.1,24.0,False,3.57,7.07,LOW_RENEWABLES
2026-03-18 10:00:00,26761.7,27706.2,27.5,0.0,27678.7,2091.0,59.9886,-73.6,90.86,-1870.6,0.1,10.99,5.39,0.0,20.3,24.4,False,3.53,7.81,LOW_RENEWABLES
2026-03-18 11:00:00,28470.5,29503.1,24.5,0.0,29478.6,2566.7,59.9934,-68.1,67.63,-1444.4,0.09,10.84,5.31,0.0,16.4,24.8,False,3.63,9.02,LOW_RENEWABLES
